id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.29802744807659726,0.1274619090294502,2-to-1,0.05548312962949206,0.011859772116947519,0.45214422135585197,0.19567522317765793,0.1171895655230461,-0.03087098734005598,0.09478472130632823,-0.028809831790930683
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.3754853446001779,0.16058949987174043,2-to-1,0.08217452112019324,0.038548306876494826,0.0814418259698791,0.04663066074503906,0.15932679498137034,-0.025180580806292378,0.11269646011842949,-0.025937921368376263
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7880277777665868,0.32728950433769216,2-to-1,1.11541888608637,0.30606779664744793,1.1081869657051584,0.19929690271498715,0.8879762139683871,-0.1749211439647187,0.3683139928836019,0.016187058688615665
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.5988712829863256,0.4804180719578278,4-to-1,0.4675821575241619,-0.04693006473086849,0.5702927571459122,-0.08381841082099767,0.17235037855268642,-0.10053434062422113,0.16523655582706803,-0.2537191003303534
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.27336599794292643,0.11169088713156744,1-to-1,0.06634220029515822,0.009145162704117426,0.5374088963286743,0.25140448245052294,0.10379784384321825,-0.025209155542619058,0.03378203157840809,0.00019446883749538895
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6838119335192594,0.5785361688492402,2-to-1,0.596119278405665,0.15963663887031843,0.5448635082895428,0.2191453457211737,0.21125157806708428,-0.1539535359179847,0.1005031900255508,0.03997713572549901
16,Matrix A,WebServer,1.0,0.409306522776384,0.4508400658923436,0.3814290934703696,2-to-1,0.20541426319486744,0.035504643385410935,0.2311668221151993,0.06270437605672176,0.0710436119304531,-0.0831591101577392,0.08314900068355309,-0.004693908776337676
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2836051804731433,0.21718219803006156,2-to-1,0.09737388247967717,0.2737263310204286,0.09388168591168011,0.01880928832257336,0.020577856062956475,-0.023635626758283703,0.10480529047967597,0.20851387213916717
18,Matrix A,WebServer,2.0,0.27197601043687214,0.29921982618350773,0.2394084078818407,1-to-1,0.11216119810979422,0.057139012903771665,0.12437809606781516,-0.29306828322624356,0.019660163505866537,-0.004059173742371893,0.07521725516084718,0.13505429301685906
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.4982752041053891,0.19675436750286646,1-to-1,0.45309763129242236,0.05586058674166984,0.4339964531588032,0.09509505961751245,0.15282135155125148,-0.047102993171436805,0.0923813982412807,0.004098447147699858
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.425774725093572,0.2760024405922505,4-to-1,0.16870505512504172,0.07864400896711014,0.11320521427874156,-0.1986906128197963,0.05303880502999316,0.0069853319468105735,0.08980689008346031,0.04745133994765428
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26706553388556886,0.11421995861084097,2-to-1,0.04110409052647648,0.006679764892247346,0.35893258943592443,0.16124012509644617,0.10370833378952438,-0.027219085829919314,0.08428230381885199,-0.027982827125706298
22,Matrix C,WebServer,2.0,0.30340988002115266,0.3238304140532739,0.1344956341971069,2-to-1,0.18728179912951937,-0.0034064002371464903,0.21234308382345388,-0.01743553127811555,0.0922822610377452,-0.029612036269712698,0.14190398165402718,-0.04423643602131914
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.29179466093556533,0.1355802085025415,4-to-1,0.18231164201283434,0.018496759837221072,0.16848156915413356,0.009927324845229388,0.09927586809899172,-0.01762783315738276,0.08637050077707531,-0.004298639575805608
24,Matrix B,WebServer,2.0,0.349409375763963,0.3826434903455382,0.29302481056178836,2-to-1,0.14176506135480046,0.06445758793046139,0.11042411401210092,-0.10850541785515568,0.0451738796403342,-0.022538218820390456,0.14090614415383115,-0.09203682757571303
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6471865229032624,0.5639278454884966,2-to-1,0.408003098257639,0.08972629912770456,0.3468389349825449,0.08108256708339254,0.2563505762993117,-0.1528057555503581,0.13016126312570267,0.051228883152625644
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.31099820026549624,0.27197602250669384,1-to-1,0.15130400402949734,-0.004345933059418382,0.12030380460998509,-0.24396692507188356,0.06172633691575685,-0.006999884266766931,0.06525838078523113,0.06252247487940214
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.33384143626903723,0.2678094725735783,4-to-1,,,,,,,,
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.40047832314851045,0.25363123260173204,4-to-1,0.1020402309642898,0.09771601852684467,0.09246494061410145,-0.3314855623131596,0.020907792962687553,-0.033974542960028345,0.055830457646380706,0.03112064529877925
