id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1,bfsz
123,Matrix A,CacheFollower,1.0,0.6950740059962296,0.6983231191464002,0.6488413932740015,2-to-1,0.18673145058741236,-0.09666841405111398,21804.0,1.0,9.360692224927615,40.0
124,Matrix C,CacheFollower,1.0,0.3308091745833327,0.33372177510010553,0.13786815445967743,1-to-1,0.00352213537492448,-0.10599048924704994,17636.0,1.0,16.48967693086466,40.0
125,Matrix A,Hadoop,2.0,0.30602592697297515,0.3225602012688496,0.2865343914488864,2-to-1,0.008255011404490064,-0.12936251699277201,17452.0,1.0,18.965174475578696,40.0
126,Matrix C,Hadoop,2.0,0.4185834677713861,0.4323724288610895,0.20871632415694308,4-to-1,-0.0006702195422071092,0.002646319000028858,15834.0,0.0,13.39146774284044,40.0
127,Matrix B,Hadoop,2.0,0.49824011701615384,0.5085771419192391,0.4090104036271317,1-to-1,0.08203179771163596,0.03973088765872791,16911.0,1.0,8.736260209109371,40.0
128,Matrix C,CacheFollower,1.0,0.45664101386204586,0.46065737219647673,0.22668914138117444,4-to-1,0.03712435412078924,-0.08353310156187385,17260.0,1.0,17.835595523932405,40.0
129,Matrix C,Hadoop,1.0,0.39190538186072243,0.40558691362557575,0.19578657974718153,4-to-1,0.07472654166411202,0.004173268928535193,9940.0,0.0,8.86271388898037,40.0
130,Matrix B,CacheFollower,1.0,0.6503440744522004,0.6548692291781056,0.5440383871254266,2-to-1,0.12770496084399716,0.028484356529441732,14225.0,0.0,5.026021987742178,40.0
131,Matrix A,Hadoop,2.0,0.5180003868085181,0.526591655028662,0.3383842990060595,4-to-1,0.14455289605775673,-0.08730795503467507,20797.0,1.0,18.748020766938545,40.0
132,Matrix A,CacheFollower,2.0,0.3419344937812453,0.3431985359275172,0.3188813346690091,2-to-1,0.13084934631968462,-0.026050586802651,20799.0,0.0,8.46575499200367,40.0
133,Matrix B,CacheFollower,1.0,0.3914071175035624,0.3941260287601652,0.3216055758547203,1-to-1,0.10269164428177273,-0.14912274933416053,11444.0,1.0,14.430548747745224,40.0
134,Matrix C,Hadoop,2.0,0.4241574152059473,0.43812570268698375,0.2114935645286456,4-to-1,0.2810116850496795,-0.1468206156383075,6541.0,1.0,19.652710207460697,40.0
135,Matrix A,Hadoop,1.0,0.5683213427477707,0.5995964470551479,0.503811898175458,1-to-1,0.16237546150472004,0.10067928291490111,25758.0,1.0,6.46681851571288,40.0
136,Matrix A,CacheFollower,1.0,0.4954424477588005,0.4978006225345129,0.46252750430215395,2-to-1,0.15355383015988522,-0.040181156801208255,28799.0,1.0,10.04985204696232,40.0
137,Matrix C,WebServer,2.0,0.3516087802067719,0.36663919880382984,0.14811926081665028,1-to-1,0.06678503178714917,-0.1375461756993552,10319.0,1.0,13.835371352727384,40.0
138,Matrix C,WebServer,1.0,0.6056627327176369,0.6327603838509115,0.267282017984506,2-to-1,0.07465353523966467,-0.10807148036875258,29124.0,1.0,12.003406587328637,40.0
139,Matrix A,CacheFollower,2.0,0.36169084657817685,0.36304306459559554,0.3373197868437975,2-to-1,0.1303870696950757,-0.04027755491978565,29767.0,0.0,6.460360987061759,40.0
140,Matrix C,Hadoop,2.0,0.26457544482013917,0.2732844551362082,0.11642149539279618,2-to-1,-0.015073215513792974,-0.04866300120612144,18656.0,1.0,11.139702979947355,40.0
141,Matrix B,CacheFollower,1.0,0.3146075118311099,0.31525704727719445,0.2562884579836418,4-to-1,-0.015025619969004157,-0.0033537133132876496,19651.0,1.0,5.654776360320043,40.0
142,Matrix A,Hadoop,2.0,0.6382770065410617,0.6727584812135267,0.5652817048162649,1-to-1,0.39800239635458917,-0.22875044086429602,7144.0,0.0,8.926720452501549,40.0
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6238857635404568,0.5182985998257874,2-to-1,0.055953924705533294,0.03761076362005189,21711.0,1.0,5.340955837818314,40.0
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.39461252711750094,0.2535753882347755,4-to-1,0.06727043125982386,-0.16854606180932183,29846.0,1.0,17.77437440635671,40.0
145,Matrix C,WebServer,1.0,0.5497249697782385,0.5744100630620372,0.2750376630863086,4-to-1,0.03375375512353239,-0.00648409133231802,23147.0,1.0,12.322237397552868,40.0
146,Matrix B,WebServer,2.0,0.4873949190368663,0.4960593535552937,0.4071454885454842,2-to-1,0.0726523599618667,-0.18605764014247803,12993.0,1.0,12.775376430662696,40.0
