id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7809728525936004,0.32529654650594253,2-to-1,1.0092637423418451,0.3101622935156725,1.0092637423418451,0.3101622935156725,1.0957809420829165,-0.1521587929497669,5.565448248923052,-0.3046621157419861
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.597217541531658,0.48034877406649934,4-to-1,0.03815229101256788,0.751267135313212,0.03815229101256788,0.751267135313212,0.0011883718142060682,-0.0003901021926583469,0.020027373781628565,-0.22053683007730815
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.2704830417066446,0.11157639556002023,1-to-1,0.06393555698618957,0.01859935649418924,0.06393555698618957,0.01859935649418924,0.07718644985898196,-0.010077259312081312,0.647052315073511,-0.5690956524642415
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6466720093063861,0.5813579557336946,2-to-1,0.6378094876659813,0.24584978684526318,0.6610503705465296,0.21272887758022202,0.19682579230973785,-0.09025508431723554,1.4370463080936522,-0.414127415118686
16,Matrix A,WebServer,1.0,0.409306522776384,0.4259762787947082,0.3829524898678178,2-to-1,0.22582203860693897,0.12286108874332191,0.23721714580022646,0.09097376975163206,0.08048451219732611,0.010648770459607399,0.644639195280647,-0.5060567612940817
17,Matrix B,WebServer,2.0,0.2590273444600284,0.28656255638829403,0.216365343308513,2-to-1,0.006825751622175795,0.30287095264633,0.006825751622175795,0.30287095264633,0.001366903025666616,-0.026390838803798868,0.003419799992278192,-0.07860411840130309
18,Matrix A,WebServer,2.0,0.27197601043687214,0.283034592539943,0.2410808403424534,1-to-1,0.10971336643554598,0.03647379132578029,0.10178549418360566,0.026511964917281406,0.030798772271135248,-0.002450275220769736,0.32674278519394007,-0.511029830126622
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.4968707062665114,0.19620105491545453,1-to-1,0.3660950874647454,0.023731221959226535,0.3660950874647454,0.023731221959226535,0.17636036139217018,-0.04416767413133321,2.050290918211866,-0.49410572847320866
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.42738144001067446,0.2766149004269567,4-to-1,0.15473892671133443,0.09963475484822226,0.16209572924791774,0.09251261019391682,0.04749410801258277,0.03853296993443925,0.23477465525811395,-0.41341023304386504
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.2648213513132284,0.11439138081392825,2-to-1,0.03974257164104469,0.027493317364483693,0.03974257164104469,0.027493317364483693,0.08587263044605695,-0.015202488215346794,0.5021197126326657,-0.6079054611811072
