id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,p99__ns3__mlsys
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5797191466521132,0.37252783528704475,4-to-1,0.25094144472675345,0.1756271030378802,-0.2857502962637896
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5614364979856528,0.49402646430007735,1-to-1,0.3198701910118264,0.11289800577287462,-0.10601962738362512
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6182224426056929,0.5062441893227462,2-to-1,0.24515099541862373,0.0670624001574283,-0.12611079173510825
58,Matrix A,WebServer,1.0,0.46186434056093467,0.48610345191405774,0.40988988347380834,1-to-1,0.14200274762042245,0.06563078653055722,-0.1552846238651063
59,Matrix A,WebServer,1.0,0.36963396623102673,0.38888270162775457,0.34677296845412536,2-to-1,0.10458846335628726,0.07246315648111189,-0.2982916615702353
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5893622365373935,0.47538357630915967,4-to-1,0.29881432259160523,0.08901558954843052,-0.18219640466711706
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5961395316100478,0.5295584428224889,2-to-1,0.31947101000214306,0.10370938473884334,-0.28523325683625905
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.37933000362954566,0.3059695343681826,4-to-1,0.09465970103764931,0.011131538675825827,-0.28104043561274084
63,Matrix B,WebServer,2.0,0.7311332739938902,0.74408901846797,0.6107182231472366,2-to-1,0.4759797032227997,0.18560079331813353,-0.3929604708427481
64,Matrix A,WebServer,1.0,0.4843775243854434,0.509824451154515,0.4546186743862665,2-to-1,0.19568781980764466,0.07566890396180145,-0.3175668968792719
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.3541657616665898,0.28482892602303556,1-to-1,0.0685031050409724,0.0027661025703680977,-0.23399495921233945
66,Matrix B,WebServer,2.0,0.35548132138250854,0.3618023036509193,0.291637739645032,1-to-1,0.0771014390261699,0.07148967309976867,-0.3072567610721278
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4102431321936032,0.1747670532575838,2-to-1,0.07023509846801884,0.027438623237082474,-0.7543337378498653
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2602780435058261,0.2136257091638966,2-to-1,0.048893801521907365,0.059285788702304845,-0.2828871116354266
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.35022337901824185,0.14276933655226295,1-to-1,0.05969132875033065,0.04016881511930087,-0.7409313405197989
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5153632972063835,0.3311690308663074,4-to-1,0.1684137675602188,0.06984939557461912,-0.3522297707984555
71,Matrix A,Hadoop,2.0,0.705462539767861,0.743575178303556,0.660527431417283,2-to-1,0.726259495124388,0.16941103935613977,-0.23594991659514386
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.505433260338382,0.40768507062652964,4-to-1,0.1975177964656945,0.04016033778967158,-0.22400124359442156
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7548334585318939,0.6159416820633578,1-to-1,0.4264914234032921,0.06954600574487077,-0.22086405134332693
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6016357640993555,0.4937984565404442,2-to-1,0.2204837721652631,0.11700914904129983,-0.393426167077709
75,Matrix A,WebServer,1.0,0.34691401838273683,0.36514808084673667,0.32560842479408364,2-to-1,0.0932009595815932,0.07009547209804039,-0.2938167004577211
