id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6628307977260223,0.2734229503430478,1-to-1,0.11323521482992041,0.07293893933192237,3.5991197989273647,0.21981634000013497,1.1591731830749425,0.08567013733413836
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2886436068196132,0.11906835897434562,1-to-1,0.009746090600491133,-0.011334881711637358,0.6438352988153453,0.9723181560294513,0.23667182991424202,-0.1998999794337938
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5214932425062133,0.25627710353730976,4-to-1,0.06275744044899695,0.037229828550833274,2.173785437142283,0.21486311209349607,0.6302885575095842,-0.14327318964737104
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7619773851734175,0.6490318029874039,1-to-1,0.5472443466659281,0.1999810393512921,0.6926492810004102,-0.08343248349258649,43.09450133922217,141.2591037618054
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36391695850136335,0.3063147130999203,1-to-1,0.08188650968297254,0.019796377872356382,0.22055886824941237,0.10323966941769966,9.851556944147472,69.7336139464634
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6221295421616931,0.5003857758622806,4-to-1,0.3996918011833699,0.13155339349712503,0.7787643121990362,-0.7226338238002826,0.8018538072371079,-0.7492137678321149
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7045276500289129,0.5659037440559127,4-to-1,0.5843221132948473,0.24433073919368528,0.8488491405996351,-0.7366253286142939,0.8744589734544121,-0.8132150837964633
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7802090318941546,0.5857986284782186,1-to-1,0.3904897637715507,0.11331020307961401,1.4022476788124179,-0.7782843530341598,1.435926119561973,-0.8065618517890036
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.26454649403754377,0.16812615169828812,4-to-1,0.03775927430557744,0.06708433666592419,0.055362666996232074,0.39735644680622195,0.031242353167600535,-0.20266752329543372
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5604329894407806,0.36273010724554977,4-to-1,0.31805061871183005,0.18552347620229961,0.14011176600000838,0.11536419561118215,272.72851200671374,1529.9875434393612
