id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.42418073491677694,0.16521955488741402,1-to-1,0.27482318964172125,0.013562048983722885,0.27482318964172125,0.013562048983722885,0.15596432148947367,-0.028084824481683347,0.27482318964172125,0.013562048983722885
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2892521878835622,0.24352635061601693,2-to-1,0.09091816547512818,0.041493667786704075,0.09091816547512818,0.041493667786704075,0.025591252723915405,0.036300535847977836,0.09091816547512818,0.041493667786704075
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4348961160167692,0.2719833022839419,4-to-1,0.12548040610693664,0.3477223849739394,0.12548040610693664,0.3477223849739394,0.026788332938901704,0.058648057831073526,0.12548040610693664,0.3477223849739394
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6648835154376788,0.25897394536937146,1-to-1,0.5325996064429112,0.12055026208888724,0.5325996064429112,0.12055026208888724,0.3360021514591588,-0.1015543444868586,0.5325996064429112,0.12055026208888724
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7575234311404226,0.30736134496203404,2-to-1,0.8437310047072007,0.17070652255245222,0.8437310047072007,0.17070652255245222,0.663058522678064,-0.15453374670231323,0.8437310047072007,0.17070652255245222
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.27180358604857663,0.2491413370344422,2-to-1,0.14197860758346087,0.11693206247298264,0.14197860758346087,0.11693206247298264,0.0524606746832062,0.008574978797484674,0.14197860758346087,0.11693206247298264
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5710987833446594,0.23172047610857774,2-to-1,0.5066838463162007,0.07389374100977612,0.5066838463162007,0.07389374100977612,0.2074195510543671,-0.04292945541342543,0.5066838463162007,0.07389374100977612
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33847337457733995,0.21167867795996198,4-to-1,0.08411979035507938,0.48966761328033953,0.08411979035507938,0.48966761328033953,0.025723129426046997,0.2297596284229443,0.08411979035507938,0.48966761328033953
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5718046646524452,0.24291717326437862,2-to-1,0.30906243588926396,0.09008816160628359,0.30906243588926396,0.09008816160628359,0.35784575304105526,-0.07307734230620806,0.30906243588926396,0.09008816160628359
43,Matrix C,WebServer,2.0,0.4920141804432579,0.550831253998575,0.21402574564002447,1-to-1,0.47806806879363506,0.046118517471413004,0.47806806879363506,0.046118517471413004,0.13531105773569213,-0.03959291318860503,0.47806806879363506,0.046118517471413004
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.2971656724257859,0.23961861643607346,4-to-1,0.020863296426855266,0.09219926927465638,0.020863296426855266,0.09219926927465638,0.0022245953788425804,-4.677791484925988e-06,0.020863296426855266,0.09219926927465638
