id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.4045011011910043,0.2531778627045593,4-to-1,0.0795606406951714,0.051709294086725546,0.07484206206741299,0.04510200561282776
29,Matrix B,WebServer,1.0,0.518351058647661,0.519584855901024,0.42893261968443375,2-to-1,0.14732924588072993,0.05848789760726888,0.1415682241444038,0.05949081816942688
30,Matrix C,WebServer,2.0,0.2625526151749801,0.29388157786621394,0.13297153989218682,4-to-1,0.04578952471302493,0.050302610580037016,0.058783434753434644,0.10697472288694845
31,Matrix C,WebServer,2.0,0.47527916957783684,0.532026984198413,0.20671933755105248,1-to-1,0.09786585276979554,0.0777983347741414,0.12661668475204482,0.12353746379901064
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5653472668595717,0.46309396131772596,2-to-1,0.1883986464241373,0.05931699337625969,0.17828852087759298,0.05920399330231281
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28001147103539437,0.22936945948023757,2-to-1,0.048417565962809446,0.025308001466377746,0.04877833051311956,0.027599441716427236
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.42418073491677694,0.16521955488741402,1-to-1,0.0621240415431199,0.026517645778400805,0.09050075325868376,0.05141350570142495
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2892521878835622,0.24352635061601693,2-to-1,0.0673975915024569,0.07346824179313158,0.05954506452618587,0.05586257554266685
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4348961160167692,0.2719833022839419,4-to-1,0.09051506316922435,0.08927179027791202,0.09638458417144292,0.10963754697231955
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6648835154376788,0.25897394536937146,1-to-1,0.11954060380254977,0.021942500141556315,0.12740678968632374,0.02346979356573074
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7575234311404226,0.30736134496203404,2-to-1,0.1517056675306571,0.03410812170227464,0.12729353724253503,0.032904035762552554
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.27180358604857663,0.2491413370344422,2-to-1,0.09380580889998423,0.06523220536019088,0.0898450461624374,0.061040206080218366
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5710987833446594,0.23172047610857774,2-to-1,0.09900707261824766,0.029172702276706066,0.12973761185601418,0.058420914047748684
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33847337457733995,0.21167867795996198,4-to-1,0.061433153341378936,0.07370576830563629,0.06756974322748312,0.0976478382334844
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5718046646524452,0.24291717326437862,2-to-1,0.044221216967564134,0.03859385527657243,0.15437110074984378,0.15134241784623276
43,Matrix C,WebServer,2.0,0.4920141804432579,0.550831253998575,0.21402574564002447,1-to-1,0.10276613443405372,0.07571389766473213,0.13366926011299451,0.12102697186341646
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.2971656724257859,0.23961861643607346,4-to-1,0.08717411588045385,0.03366034850308289,0.08564428911974215,0.027496472971867157
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.33479184049334504,0.25728827577072627,4-to-1,0.06505191573164075,0.027848199207232482,0.06329457439539209,0.02734331378243563
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5274056523178261,0.4185176290303591,1-to-1,0.1262288820228616,0.042936633388077405,0.11380392797165588,0.047393369820511656
47,Matrix A,WebServer,2.0,0.6494533494271933,0.6729868406529171,0.42088085930964775,4-to-1,0.3940212837947799,0.3013948224429173,0.4221090245151717,0.3326621928083261
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.5408087976769338,0.4427673727980769,1-to-1,0.22104194656803763,0.0419444712505413,0.21725302807221372,0.042887878811643465
49,Matrix A,WebServer,2.0,0.2777694326655076,0.3054348910017457,0.2571508445877292,2-to-1,0.07256552043616805,0.07648938848654227,0.06469772980868478,0.0597569163528826
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6923034695320553,0.5493706889736565,1-to-1,0.26159227306380983,0.08624242003668912,0.24496286313698035,0.10510951779707868
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.46164408587877637,0.29621112248578785,4-to-1,0.11449317320017913,0.08050246863428968,0.11394578859626976,0.06689500730414566
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6275988282643294,0.2550433104573287,1-to-1,0.05662386159348348,0.0412138568777992,0.0674433981352537,-0.00038163870824857823
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7646978926837265,0.3107609233276156,1-to-1,0.18945012867510277,0.13955531786436903,0.11297828775898588,0.13073769776099842
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.4103583171062318,0.16676121584281794,1-to-1,0.018146340136752037,0.042753020792647214,0.04557961980511268,-0.19922133112781082
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5901375955683973,0.36906757060649337,4-to-1,0.2483904400610487,0.18909522681264776,0.26812759413498155,0.21621267095911323
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5638590579675894,0.48947584433828023,1-to-1,0.3112573789710639,0.10936203148935927,0.3334577312098861,0.13728300746463948
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6131602638930506,0.5022591108099878,2-to-1,0.2345024843439095,0.07332210009583116,0.22307919282719185,0.07460586025702658
58,Matrix A,WebServer,1.0,0.46186434056093467,0.5087321994247549,0.40623394233630045,1-to-1,0.1367412035473328,0.07928464970618276,0.1627507742823378,0.11360560137642825
59,Matrix A,WebServer,1.0,0.36963396623102673,0.4071540632912482,0.3427867564344734,2-to-1,0.10460269317961893,0.09158789607692436,0.08457547533863488,0.06963472872674063
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.6146782115705258,0.4723821320010844,4-to-1,0.2849483443279254,0.09058772410545013,0.266278608149497,0.08526851587826625
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.6284581020954544,0.5254020599350877,2-to-1,0.29392829636858786,0.09505863377043676,0.29814923578564617,0.11003142844430076
