id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.5118787953629841,0.1993781889841746,1-to-1,0.4571055452339798,0.04917027129638623,0.17432477994525863,-0.03524349210623135,0.17432477994525863,-0.03524349210623135,0.4571055452339798,0.04917027129638623
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.4295967530076209,0.27564562760096917,4-to-1,0.09745068331153921,0.0699402384028637,0.05571786216139517,-0.0003469753267262001,0.051022136878293434,-0.03101664018209864,0.09745068331153921,0.0699402384028637
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26862171719129063,0.11411734154146067,2-to-1,0.0562177103300225,0.010506218666700044,0.08222284422696213,-0.03683454546721599,0.08222284422696213,-0.03683454546721599,0.0562177103300225,0.010506218666700044
22,Matrix C,WebServer,2.0,0.30340988002115266,0.33961660823501677,0.13738513682277012,2-to-1,0.2957960699891339,0.07542114329466494,0.11532229941415612,-0.011834109160359386,0.11532229941415612,-0.011834109160359386,0.2957960699891339,0.07542114329466494
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.301372539608719,0.13710603572800742,4-to-1,0.24969224132602746,0.004570433357429538,0.11903299711905102,-0.017046063426384567,0.11903299711905102,-0.017046063426384567,0.24969224132602746,0.004570433357429538
24,Matrix B,WebServer,2.0,0.349409375763963,0.3518223902146095,0.29043564294814567,2-to-1,0.08822764402983328,-0.06072274716494512,0.05991561732538077,-0.03643238608864878,0.04938045732026905,-0.07861284442292334,0.08822764402983328,-0.06072274716494512
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6752878495359029,0.5645628370220089,2-to-1,0.3474150176570911,0.15319033436276058,0.11794410597617742,-0.09582204269999056,0.12615981990310843,-0.08701145433940945,0.3474150176570911,0.15319033436276058
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3127290061309023,0.27147286702955326,1-to-1,0.080681639454219,-0.011915346478988615,0.08388453202853166,-0.029944064773121077,0.06931828137083225,-0.011846033977983516,0.080681639454219,-0.011915346478988615
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.3442901554133982,0.264588063413133,4-to-1,0.10288176020338068,0.05923802788521328,0.026737502460513245,0.017895218194401877,0.02563029737450482,0.04899561284005327,0.10288176020338068,0.05923802788521328
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.4045011011910043,0.2531778627045593,4-to-1,0.103363844969117,0.012742443499397406,0.028955168072410643,-0.05846379005804516,0.023864009584952866,-0.054144273463668874,0.103363844969117,0.012742443499397406
29,Matrix B,WebServer,1.0,0.518351058647661,0.519584855901024,0.42893261968443375,2-to-1,0.2483795282350921,-0.10043230809860205,0.12637609981592562,-0.2544617152746866,0.08378017960584337,-0.1620237208727656,0.2483795282350921,-0.10043230809860205
30,Matrix C,WebServer,2.0,0.2625526151749801,0.29388157786621394,0.13297153989218682,4-to-1,0.23337255018342296,0.06951100984018457,0.09361891379294612,-0.004068881848859464,0.09361891379294612,-0.004068881848859464,0.23337255018342296,0.06951100984018457
31,Matrix C,WebServer,2.0,0.47527916957783684,0.532026984198413,0.20671933755105248,1-to-1,0.46122215418371004,0.036249369338607666,0.12290537214137953,-0.044505338021004266,0.12290537214137953,-0.044505338021004266,0.46122215418371004,0.036249369338607666
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5653472668595717,0.46309396131772596,2-to-1,0.248246183507691,0.07554675887010284,0.16591392923650564,-0.12341155406659092,0.06392998909303184,0.04558624200826919,0.248246183507691,0.07554675887010284
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28001147103539437,0.22936945948023757,2-to-1,0.07983282250332624,-0.04397861153073837,0.01884880744666943,-0.04032439124125005,0.020508745495931034,-0.04779497151135038,0.07983282250332624,-0.04397861153073837
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.42418073491677694,0.16521955488741402,1-to-1,0.27482318964172125,0.013562048983722885,0.15596432148947367,-0.028084824481683347,0.15596432148947367,-0.028084824481683347,0.27482318964172125,0.013562048983722885
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2892521878835622,0.24352635061601693,2-to-1,0.08099795428035038,0.06438825872686102,0.02767011437283622,0.01732881696373335,0.023730402310299447,0.016975585806803545,0.08099795428035038,0.06438825872686102
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4348961160167692,0.2719833022839419,4-to-1,0.12092280610339934,0.2958171693765997,0.0259580634200799,0.05092505262662076,0.02090790630573812,0.058701634484509733,0.12092280610339934,0.2958171693765997
